"Referencia","Designação","Cor","Tamanho","EAN","PVP","Stock","Posição Grelha","Data da exportação"
"263066041-9","Toyota","141","XL","5602241170993472","€3,18","50","1","2019-04-23 22:31:12"
"599156814-6","Volkswagen","474","2XL","3587803322718695","€46,29","61","2","2019-04-22 04:24:56"
"268580139-1","Buick","13","L","4041376766838","€90,75","31","1","2019-04-13 07:05:35"
"110873713-7","Subaru","142","2XL","30224053495602","€86,71","70","3","2019-04-19 19:07:11"
"819932672-7","Pontiac","75","L","6759367051416133887","€81,86","145","1","2019-04-24 13:34:03"
"719875730-8","Dodge","222","M","3559923539472821","€57,54","99","2","2019-04-10 07:57:21"
"208506468-X","Volkswagen","848","XL","36319022026266","€92,63","73","1","2019-04-30 11:33:27"
"091156177-3","GMC","322","XS","3570780433027696","€27,41","113","1","2019-04-26 22:55:12"
"189977425-4","Hyundai","539","XS","4041375432374","€86,30","119","2","2019-05-01 09:58:57"
"246669045-4","Mitsubishi","428","XS","3567016331337399","€32,38","23","1","2019-04-07 00:33:55"
"486733091-4","Volkswagen","110","L","6759602919565157177","€1,56","31","1","2019-04-30 01:30:05"
"947306122-6","Volvo","816","XS","6370235543261086","€47,84","118","2","2019-04-10 00:10:42"
"316820465-X","Hummer","193","XS","4041373977252687","€38,89","104","2","2019-04-30 11:00:03"
"295369830-2","Ford","214","3XL","490342060548854938","€0,30","93","2","2019-04-05 16:06:38"
"777482067-1","Nissan","677","S","5602229620981510","€66,60","9","2","2019-04-29 13:53:54"
"491794372-8","Infiniti","779","3XL","560224304709508666","€69,53","41","3","2019-04-03 11:05:38"
"051179506-8","Jaguar","523","XL","4508928728593840","€71,68","108","2","2019-04-17 08:25:59"
"186533920-2","Audi","26","L","3587854186157561","€12,62","117","3","2019-04-07 01:44:16"
"055232967-3","GMC","867","XS","3566868597364058","€92,17","106","3","2019-04-12 16:27:30"
"205322822-9","Cadillac","508","XL","4844482126502428","€1,54","150","3","2019-04-07 21:51:32"
"682329094-3","GMC","948","2XL","676147338848196809","€92,27","5","1","2019-04-13 08:00:53"
"322888965-3","Audi","38","XS","3579707150253354","€60,90","5","1","2019-04-23 14:07:48"
"040795559-3","Volvo","449","L","3574578201961781","€72,40","72","1","2019-04-02 20:37:28"
"199101741-3","Audi","8","M","3583328314062286","€2,58","2","3","2019-04-19 05:54:40"
"870011930-X","Mitsubishi","825","S","3543727950328639","€89,31","59","3","2019-04-09 02:21:01"
"437567546-2","Ford","18","S","201673623460582","€64,57","56","1","2019-05-02 02:47:23"
"610491886-7","Infiniti","266","L","30380232341461","€64,55","25","2","2019-04-25 15:47:03"
"815306708-7","Volvo","446","2XL","3535587555755382","€66,79","69","2","2019-05-02 03:23:31"
"844416132-2","Toyota","1000","XL","633341082351260652","€67,32","125","1","2019-04-15 13:48:08"
"020512830-0","Cadillac","570","XS","6759181835715178815","€94,78","99","1","2019-04-01 17:24:17"
"481235344-0","Oldsmobile","168","XL","371548085397171","€55,86","32","2","2019-04-17 02:03:19"
"992815169-5","Volkswagen","676","M","3529292144855748","€73,30","82","3","2019-04-29 11:30:03"
"144351580-9","Isuzu","439","XS","3566442241326796","€50,63","130","2","2019-04-01 03:40:12"
"679565142-8","Volkswagen","38","XS","491171030941305303","€26,54","116","3","2019-04-09 00:11:08"
"781081005-7","Ford","49","M","3535234709474822","€35,94","49","2","2019-04-07 05:48:40"
"606627821-5","Mazda","591","XS","63045008907983793","€35,09","22","2","2019-04-27 22:08:11"
"207035029-0","Mitsubishi","334","XS","5108752515504856","€88,84","74","1","2019-04-25 17:51:51"
"145228921-2","Dodge","466","M","201794564723042","€25,75","65","3","2019-04-04 16:15:03"
"608698885-4","Honda","806","3XL","201550795215343","€33,57","136","1","2019-04-04 17:25:28"
"828509488-X","Jeep","765","S","3529859879996432","€24,22","30","1","2019-04-25 01:26:06"
"475063692-4","Ford","710","S","3545553133647762","€36,85","120","3","2019-04-10 15:51:14"
"160930733-X","Chevrolet","277","3XL","4844885748440100","€16,49","118","1","2019-04-29 22:10:55"
"334694216-3","Oldsmobile","63","XS","3567364111808555","€74,32","135","1","2019-05-01 02:40:36"
"364112233-3","Chevrolet","879","XL","3589850123568645","€24,65","48","3","2019-04-24 08:36:34"
"033331763-7","Mazda","923","M","3572407913267083","€6,06","109","2","2019-04-24 06:23:49"
"604260335-3","Chevrolet","929","M","4017956109948089","€3,93","136","3","2019-04-12 05:27:30"
"552412988-0","Pontiac","652","S","376216709514267","€75,88","13","1","2019-04-04 21:45:59"
"785289007-5","Mercury","572","XL","3553567334909887","€14,18","34","2","2019-05-01 23:22:36"
"978859174-4","Pontiac","710","XL","201648142469561","€21,40","47","2","2019-04-29 12:44:10"
"784682822-3","Pontiac","511","2XL","3548090145477968","€77,17","51","2","2019-04-03 17:15:40"
"653724771-3","Buick","132","S","30494361877631","€89,76","80","3","2019-04-19 16:13:55"
"548825752-7","Chevrolet","585","3XL","5417290747077231","€56,49","117","1","2019-04-13 09:29:00"
"636604778-2","Toyota","121","M","3534158700968105","€24,34","21","1","2019-04-16 17:41:38"
"873658718-4","Ford","822","M","5602254906228394","€99,19","145","1","2019-04-27 21:52:02"
"355839279-5","Mercedes-Benz","674","S","5100145614837996","€54,22","79","2","2019-05-01 00:03:58"
"695427100-4","BMW","864","S","3578533656621618","€9,03","18","1","2019-04-11 10:39:57"
"683376718-1","Dodge","54","2XL","6371001797453889","€16,52","7","1","2019-05-01 17:28:33"
"850552560-4","Toyota","160","3XL","3568524030714114","€65,97","67","1","2019-04-04 07:42:30"
"238462703-1","Chevrolet","254","XL","3540755704930486","€46,72","146","3","2019-04-17 21:16:34"
"074078960-0","Ford","497","L","6379954873348179","€31,62","9","3","2019-04-01 19:50:26"
"427812669-7","Dodge","409","S","3543656824760844","€96,74","97","1","2019-04-19 03:26:46"
"596570843-2","BMW","221","M","3565820435094463","€47,40","75","1","2019-04-10 15:03:34"
"608258280-2","Porsche","930","M","3576253075255623","€55,61","34","1","2019-04-22 15:37:37"
"336343315-8","Buick","74","M","3544494364289753","€18,55","147","2","2019-04-25 14:54:55"
"372412109-1","Suzuki","973","XS","3584765400530917","€38,64","147","2","2019-04-26 09:57:00"
"834319744-5","Pontiac","822","XL","3589129317572303","€72,08","38","1","2019-04-24 08:37:31"
"303070926-4","Land Rover","832","2XL","201559229535317","€2,38","96","1","2019-04-14 10:28:35"
"787013190-3","Mercury","938","3XL","201506124575054","€85,21","144","3","2019-04-18 14:14:08"
"271535609-9","Mazda","432","L","3563512396703958","€75,66","95","2","2019-04-26 21:30:20"
"275364090-4","Mercury","313","3XL","5602220762498306","€31,59","38","1","2019-04-28 10:52:51"
"743788940-4","Chevrolet","435","XL","30581891176466","€81,00","98","2","2019-04-28 05:46:08"
"204397140-9","MINI","691","L","5602232164439093","€29,71","72","1","2019-04-27 23:33:03"
"400862737-5","Audi","526","3XL","6304850227351400957","€79,48","89","3","2019-04-19 23:21:06"
"021938475-4","Chevrolet","877","L","3575975350056711","€28,27","97","3","2019-04-14 02:04:16"
"186799168-3","Volvo","413","XL","3565976097880233","€68,09","139","1","2019-04-03 00:49:32"
"280063448-0","Mercedes-Benz","938","XS","5010125648317750","€77,57","33","2","2019-04-11 08:23:16"
"342810779-9","GMC","691","L","30495943544789","€84,54","125","3","2019-04-20 11:09:13"
"727913448-3","Suzuki","34","M","5602255757152914","€2,72","117","3","2019-04-07 07:47:26"
"233339800-0","Subaru","12","M","201518530779659","€12,79","78","3","2019-04-14 10:36:55"
"256887813-4","Mitsubishi","245","3XL","67095568252187829","€27,89","91","2","2019-04-22 16:44:04"
"547032756-6","Jaguar","230","M","3572836839291845","€92,82","25","2","2019-04-16 22:35:48"
"696725466-9","Chevrolet","219","L","5602219692027359","€96,17","53","2","2019-05-01 09:25:43"
"369360753-2","GMC","156","L","3584277789903129","€38,54","107","3","2019-04-16 03:53:44"
"598499790-8","Audi","57","2XL","3528043666028771","€62,74","123","2","2019-04-06 07:34:19"
"876218212-9","Porsche","757","L","5453192766981159","€7,56","118","2","2019-04-19 09:00:32"
"573183731-7","Cadillac","94","M","3582062791485014","€50,56","82","3","2019-04-16 16:30:31"
"455427036-X","Subaru","492","S","5602232620510719","€76,52","111","3","2019-04-27 10:28:17"
"626496182-5","Buick","929","XL","3562493449502104","€31,07","24","3","2019-05-02 10:03:35"
"390968073-9","Acura","104","S","3561803665944585","€4,87","119","2","2019-04-25 17:02:11"
"182126112-7","Ford","560","XS","67595220110297243","€4,95","137","2","2019-04-27 03:00:39"
"608198233-5","Ford","403","XS","06046660051906752","€72,59","62","3","2019-04-22 01:15:58"
"643309617-4","Nissan","810","M","4026609826268104","€95,60","10","1","2019-04-15 04:01:39"
"702346549-9","Ford","949","2XL","5100147743654391","€76,83","100","1","2019-04-21 20:00:30"
"532377419-3","Dodge","153","XS","3528495082783274","€58,26","134","3","2019-04-27 20:28:34"
"295143198-8","Honda","459","XS","633353426433367149","€17,09","56","3","2019-04-10 18:58:44"
"566140215-5","Mercedes-Benz","408","XS","3534957881976781","€49,24","85","3","2019-04-05 19:07:58"
"477297477-6","Mazda","309","XL","3542466022354270","€48,07","118","2","2019-05-02 08:51:36"
"907451900-8","Mercedes-Benz","230","L","3544842572378182","€41,43","111","1","2019-04-04 01:03:31"
"957986182-X","Porsche","216","2XL","4041593925514","€6,12","118","3","2019-04-02 16:51:18"
"121164498-7","Acura","733","XS","56107044733432597","€29,40","53","1","2019-04-22 19:22:47"
"146456854-5","Dodge","960","M","5409591645155270","€79,10","89","2","2019-04-25 18:31:32"
"078759980-8","Mercury","397","3XL","4017950540641","€16,30","41","2","2019-04-09 22:26:45"
"488173214-5","Mazda","854","S","675958947246825023","€52,12","147","2","2019-04-05 21:08:25"
"357959466-4","Chevrolet","861","XL","56022591836091508","€28,67","59","3","2019-04-18 23:55:24"
"423634064-X","Lexus","712","S","5602210676457424035","€14,94","112","1","2019-04-24 09:37:35"
"327526346-3","Mazda","94","S","4844927287549063","€73,87","60","3","2019-04-29 14:24:56"
"390714975-0","Oldsmobile","128","S","36459839592348","€38,24","47","1","2019-04-10 00:24:00"
"480715961-5","Suzuki","769","S","3579299611181432","€31,76","141","3","2019-04-08 17:33:13"
"290920447-2","Plymouth","230","3XL","5100130303699865","€7,67","122","2","2019-04-16 17:17:05"
"880069333-4","Ford","898","XS","30306856607333","€19,70","61","1","2019-04-28 18:18:42"
"059868265-1","Maserati","557","XS","3533615694253688","€51,07","71","1","2019-04-26 03:40:12"
"905684381-8","Toyota","605","2XL","201414613074202","€12,20","72","3","2019-04-05 04:27:42"
"448154270-5","Volkswagen","33","2XL","3540754498889255","€13,13","112","2","2019-04-22 08:20:00"
"321737778-8","Nissan","942","2XL","3577928902095750","€78,81","59","2","2019-04-10 19:10:28"
"020375374-7","Ford","560","2XL","502024646821932982","€41,92","105","2","2019-04-19 16:21:14"
"749527292-9","Ford","927","XL","58934725997307047","€99,03","124","1","2019-04-21 20:29:01"
